query_id,method,candidate_id,rank,score
EK01,bm25,23319-8_chunk_000117,1,1.00000000
EK01,bm25,36721-8_chunk_000098,2,0.50000000
EK01,bm25,60098-0_chunk_000118,3,0.33333333
EK01,bm25,51964-8_chunk_000104,4,0.25000000
EK01,bm25,61235-0_chunk_000336,5,0.20000000
EK01,bm25,50404-0_chunk_000120,6,0.16666667
EK01,bm25,15191-8_chunk_000765,7,0.14285714
EK01,bm25,50404-0_chunk_000044,8,0.12500000
EK01,bm25,6603-8_chunk_000427,9,0.11111111
EK01,bm25,967-0_chunk_000023,10,0.10000000
EK01,bm25,32224-8_chunk_000048,11,0.09090909
EK01,bm25,12088-8_chunk_000131,12,0.08333333
EK01,bm25,23319-8_chunk_000121,13,0.07692308
EK01,bm25,45409-8_chunk_000007,14,0.07142857
EK01,bm25,50404-0_chunk_000043,15,0.06666667
EK01,bm25,17669-8_chunk_000090,16,0.06250000
EK01,bm25,47692-8_chunk_000738,17,0.05882353
EK01,bm25,17881-8_chunk_000084,18,0.05555556
EK01,bm25,50404-0_chunk_000068,19,0.05263158
EK01,bm25,51991-0_chunk_000093,20,0.05000000
EK02,bm25,61172-8_chunk_000007,1,1.00000000
EK02,bm25,53562-0_chunk_000000,2,0.50000000
EK02,bm25,55624-8_chunk_000033,3,0.33333333
EK02,bm25,15655-8_chunk_000003,4,0.25000000
EK02,bm25,5228-0_chunk_000043,5,0.20000000
EK02,bm25,31675-0_chunk_000147,6,0.16666667
EK02,bm25,50557-0_chunk_000055,7,0.14285714
EK02,bm25,50557-0_chunk_000051,8,0.12500000
EK02,bm25,44186-0_chunk_000091,9,0.11111111
EK02,bm25,22358-8_chunk_000242,10,0.10000000
EK02,bm25,14972-8_chunk_000012,11,0.09090909
EK02,bm25,650-0_chunk_000094,12,0.08333333
EK02,bm25,9876-8_chunk_000026,13,0.07692308
EK02,bm25,21288-8_chunk_000079,14,0.07142857
EK02,bm25,2814-0_chunk_000188,15,0.06666667
EK02,bm25,42856-8_chunk_000056,16,0.06250000
EK02,bm25,25359-8_chunk_000247,17,0.05882353
EK02,bm25,50006-0_chunk_000173,18,0.05555556
EK02,bm25,13640-8_chunk_000105,19,0.05263158
EK02,bm25,13695-0_chunk_000321,20,0.05000000
EK03,bm25,56280-0_chunk_000336,1,1.00000000
EK03,bm25,60901-8_chunk_000143,2,0.50000000
EK03,bm25,39306-8_chunk_000072,3,0.33333333
EK03,bm25,19724-8_chunk_000097,4,0.25000000
EK03,bm25,26146-8_chunk_000114,5,0.20000000
EK03,bm25,7844-8_chunk_000154,6,0.16666667
EK03,bm25,10007-0_chunk_000057,7,0.14285714
EK03,bm25,30724-0_chunk_000081,8,0.12500000
EK03,bm25,43591-0_chunk_000039,9,0.11111111
EK03,bm25,16691-8_chunk_000024,10,0.10000000
EK03,bm25,13695-0_chunk_000099,11,0.09090909
EK03,bm25,16054-8_chunk_000230,12,0.08333333
EK03,bm25,29588-8_chunk_000300,13,0.07692308
EK03,bm25,39303-0_chunk_000305,14,0.07142857
EK03,bm25,42647-0_chunk_000535,15,0.06666667
EK03,bm25,16691-8_chunk_000023,16,0.06250000
EK03,bm25,45895-8_chunk_000004,17,0.05882353
EK03,bm25,12441-0_chunk_000211,18,0.05555556
EK03,bm25,62829-0_chunk_000050,19,0.05263158
EK03,bm25,3460-0_chunk_000335,20,0.05000000
EK04,bm25,40853-8_chunk_000058,1,1.00000000
EK04,bm25,48124-8_chunk_000091,2,0.50000000
EK04,bm25,48124-8_chunk_000063,3,0.33333333
EK04,bm25,40853-8_chunk_000347,4,0.25000000
EK04,bm25,26977-8_chunk_000131,5,0.20000000
EK04,bm25,40359-8_chunk_000081,6,0.16666667
EK04,bm25,26194-8_chunk_000040,7,0.14285714
EK04,bm25,62343-0_chunk_000074,8,0.12500000
EK04,bm25,45774-8_chunk_000111,9,0.11111111
EK04,bm25,59444-0_chunk_000246,10,0.10000000
EK04,bm25,40759-8_chunk_000021,11,0.09090909
EK04,bm25,60055-0_chunk_000133,12,0.08333333
EK04,bm25,56381-0_chunk_000148,13,0.07692308
EK04,bm25,33390-8_chunk_000089,14,0.07142857
EK04,bm25,52761-0_chunk_000003,15,0.06666667
EK04,bm25,52761-0_chunk_000008,16,0.06250000
EK04,bm25,42389-8_chunk_000114,17,0.05882353
EK04,bm25,46529-8_chunk_000068,18,0.05555556
EK04,bm25,48124-8_chunk_000054,19,0.05263158
EK04,bm25,54284-0_chunk_000023,20,0.05000000
EK05,bm25,41296-8_chunk_000318,1,1.00000000
EK05,bm25,35116-8_chunk_000228,2,0.50000000
EK05,bm25,58834-0_chunk_000258,3,0.33333333
EK05,bm25,20696-8_chunk_000128,4,0.25000000
EK05,bm25,41664-8_chunk_000046,5,0.20000000
EK05,bm25,28515-8_chunk_000085,6,0.16666667
EK05,bm25,45812-8_chunk_000033,7,0.14285714
EK05,bm25,30952-8_chunk_000053,8,0.12500000
EK05,bm25,28097-8_chunk_000174,9,0.11111111
EK05,bm25,58292-0_chunk_000005,10,0.10000000
EK05,bm25,58668-0_chunk_000071,11,0.09090909
EK05,bm25,20117-8_chunk_000173,12,0.08333333
EK05,bm25,48207-8_chunk_000015,13,0.07692308
EK05,bm25,34506-8_chunk_000285,14,0.07142857
EK05,bm25,30952-8_chunk_000052,15,0.06666667
EK05,bm25,65900-0_chunk_000004,16,0.06250000
EK05,bm25,27401-8_chunk_000055,17,0.05882353
EK05,bm25,45077-8_chunk_000005,18,0.05555556
EK05,bm25,16334-8_chunk_000064,19,0.05263158
EK05,bm25,29939-8_chunk_000141,20,0.05000000
EK06,bm25,11735-8_chunk_000026,1,1.00000000
EK06,bm25,39193-8_chunk_000159,2,0.50000000
EK06,bm25,57054-0_chunk_000042,3,0.33333333
EK06,bm25,57054-0_chunk_000047,4,0.25000000
EK06,bm25,48575-0_chunk_000054,5,0.20000000
EK06,bm25,41983-8_chunk_000747,6,0.16666667
EK06,bm25,55817-0_chunk_000018,7,0.14285714
EK06,bm25,48575-0_chunk_000078,8,0.12500000
EK06,bm25,58962-0_chunk_000018,9,0.11111111
EK06,bm25,40796-0_chunk_000028,10,0.10000000
EK06,bm25,52921-0_chunk_000219,11,0.09090909
EK06,bm25,59543-0_chunk_000005,12,0.08333333
EK06,bm25,23813-0_chunk_000007,13,0.07692308
EK06,bm25,29426-8_chunk_000187,14,0.07142857
EK06,bm25,57054-0_chunk_000079,15,0.06666667
EK06,bm25,22737-8_chunk_000192,16,0.06250000
EK06,bm25,41664-8_chunk_000079,17,0.05882353
EK06,bm25,57054-0_chunk_000080,18,0.05555556
EK06,bm25,55482-0_chunk_000027,19,0.05263158
EK06,bm25,47219-0_chunk_000108,20,0.05000000
