query_id,method,candidate_id,rank,score
EK01,dense_ann,37683-8_chunk_000684,1,1.00000000
EK01,dense_ann,14504-0_chunk_000069,2,0.50000000
EK01,dense_ann,37683-8_chunk_000449,3,0.33333333
EK01,dense_ann,14504-0_chunk_000122,4,0.25000000
EK01,dense_ann,41586-8_chunk_000065,5,0.20000000
EK01,dense_ann,30472-0_chunk_000173,6,0.16666667
EK01,dense_ann,41586-8_chunk_000024,7,0.14285714
EK01,dense_ann,52921-0_chunk_000210,8,0.12500000
EK01,dense_ann,50572-0_chunk_000183,9,0.11111111
EK01,dense_ann,41586-8_chunk_000013,10,0.10000000
EK01,dense_ann,41586-8_chunk_000023,11,0.09090909
EK01,dense_ann,41586-8_chunk_000025,12,0.08333333
EK01,dense_ann,30472-0_chunk_000166,13,0.07692308
EK01,dense_ann,41586-8_chunk_000012,14,0.07142857
EK01,dense_ann,14504-0_chunk_000013,15,0.06666667
EK01,dense_ann,41586-8_chunk_000008,16,0.06250000
EK01,dense_ann,41586-8_chunk_000045,17,0.05882353
EK01,dense_ann,61786-0_chunk_000184,18,0.05555556
EK01,dense_ann,30472-0_chunk_000165,19,0.05263158
EK01,dense_ann,31415-8_chunk_000092,20,0.05000000
EK02,dense_ann,47583-0_chunk_000076,1,1.00000000
EK02,dense_ann,37669-8_chunk_000157,2,0.50000000
EK02,dense_ann,61398-0_chunk_000316,3,0.33333333
EK02,dense_ann,61398-0_chunk_000493,4,0.25000000
EK02,dense_ann,37669-8_chunk_000134,5,0.20000000
EK02,dense_ann,60733-0_chunk_000016,6,0.16666667
EK02,dense_ann,47583-0_chunk_000052,7,0.14285714
EK02,dense_ann,54019-0_chunk_000071,8,0.12500000
EK02,dense_ann,61398-0_chunk_000490,9,0.11111111
EK02,dense_ann,37669-8_chunk_000129,10,0.10000000
EK02,dense_ann,47583-0_chunk_000130,11,0.09090909
EK02,dense_ann,55626-0_chunk_000360,12,0.08333333
EK02,dense_ann,37669-8_chunk_000127,13,0.07692308
EK02,dense_ann,54019-0_chunk_000101,14,0.07142857
EK02,dense_ann,52196-0_chunk_000128,15,0.06666667
EK02,dense_ann,54019-0_chunk_000072,16,0.06250000
EK02,dense_ann,37669-8_chunk_000053,17,0.05882353
EK02,dense_ann,64699-0_chunk_000070,18,0.05555556
EK02,dense_ann,37669-8_chunk_000162,19,0.05263158
EK02,dense_ann,37669-8_chunk_000128,20,0.05000000
EK03,dense_ann,65310-0_chunk_000213,1,1.00000000
EK03,dense_ann,30724-0_chunk_000234,2,0.50000000
EK03,dense_ann,12330-0_chunk_000038,3,0.33333333
EK03,dense_ann,20131-8_chunk_000014,4,0.25000000
EK03,dense_ann,65310-0_chunk_000191,5,0.20000000
EK03,dense_ann,5872-0_chunk_000035,6,0.16666667
EK03,dense_ann,65310-0_chunk_000189,7,0.14285714
EK03,dense_ann,13695-0_chunk_000238,8,0.12500000
EK03,dense_ann,20131-8_chunk_000055,9,0.11111111
EK03,dense_ann,20131-8_chunk_000059,10,0.10000000
EK03,dense_ann,20131-8_chunk_000169,11,0.09090909
EK03,dense_ann,65310-0_chunk_000188,12,0.08333333
EK03,dense_ann,1438-0_chunk_000646,13,0.07692308
EK03,dense_ann,20131-8_chunk_000066,14,0.07142857
EK03,dense_ann,20131-8_chunk_000028,15,0.06666667
EK03,dense_ann,20131-8_chunk_000015,16,0.06250000
EK03,dense_ann,65310-0_chunk_000190,17,0.05882353
EK03,dense_ann,37332-8_chunk_000159,18,0.05555556
EK03,dense_ann,65310-0_chunk_000033,19,0.05263158
EK03,dense_ann,65310-0_chunk_000019,20,0.05000000
EK04,dense_ann,39343-0_chunk_000357,1,1.00000000
EK04,dense_ann,11697-8_chunk_000080,2,0.50000000
EK04,dense_ann,11697-8_chunk_000096,3,0.33333333
EK04,dense_ann,39343-0_chunk_000110,4,0.25000000
EK04,dense_ann,39343-0_chunk_000087,5,0.20000000
EK04,dense_ann,39343-0_chunk_000076,6,0.16666667
EK04,dense_ann,10149-8_chunk_000275,7,0.14285714
EK04,dense_ann,39343-0_chunk_000105,8,0.12500000
EK04,dense_ann,39343-0_chunk_000234,9,0.11111111
EK04,dense_ann,44535-0_chunk_000111,10,0.10000000
EK04,dense_ann,39343-0_chunk_000084,11,0.09090909
EK04,dense_ann,36361-8_chunk_000025,12,0.08333333
EK04,dense_ann,39343-0_chunk_000217,13,0.07692308
EK04,dense_ann,39343-0_chunk_000347,14,0.07142857
EK04,dense_ann,39343-0_chunk_000062,15,0.06666667
EK04,dense_ann,39343-0_chunk_000074,16,0.06250000
EK04,dense_ann,11697-8_chunk_000393,17,0.05882353
EK04,dense_ann,39343-0_chunk_000288,18,0.05555556
EK04,dense_ann,44535-0_chunk_000052,19,0.05263158
EK04,dense_ann,39343-0_chunk_000320,20,0.05000000
EK05,dense_ann,17613-0_chunk_000131,1,1.00000000
EK05,dense_ann,23299-8_chunk_000088,2,0.50000000
EK05,dense_ann,34462-8_chunk_000106,3,0.33333333
EK05,dense_ann,17613-0_chunk_000098,4,0.25000000
EK05,dense_ann,45573-8_chunk_000182,5,0.20000000
EK05,dense_ann,23299-8_chunk_000087,6,0.16666667
EK05,dense_ann,34674-0_chunk_000177,7,0.14285714
EK05,dense_ann,17613-0_chunk_000180,8,0.12500000
EK05,dense_ann,8924-0_chunk_000107,9,0.11111111
EK05,dense_ann,34240-8_chunk_000293,10,0.10000000
EK05,dense_ann,35552-8_chunk_000059,11,0.09090909
EK05,dense_ann,19968-8_chunk_000222,12,0.08333333
EK05,dense_ann,17613-0_chunk_000040,13,0.07692308
EK05,dense_ann,61657-8_chunk_000137,14,0.07142857
EK05,dense_ann,17613-0_chunk_000088,15,0.06666667
EK05,dense_ann,36752-8_chunk_000102,16,0.06250000
EK05,dense_ann,16011-8_chunk_000181,17,0.05882353
EK05,dense_ann,17613-0_chunk_000099,18,0.05555556
EK05,dense_ann,9439-0_chunk_000186,19,0.05263158
EK05,dense_ann,19968-8_chunk_000225,20,0.05000000
EK06,dense_ann,40175-8_chunk_000106,1,1.00000000
EK06,dense_ann,14009-8_chunk_000015,2,0.50000000
EK06,dense_ann,51500-0_chunk_000047,3,0.33333333
EK06,dense_ann,55817-0_chunk_000019,4,0.25000000
EK06,dense_ann,52921-0_chunk_000219,5,0.20000000
EK06,dense_ann,52921-0_chunk_000133,6,0.16666667
EK06,dense_ann,52921-0_chunk_000143,7,0.14285714
EK06,dense_ann,48575-0_chunk_000054,8,0.12500000
EK06,dense_ann,53709-0_chunk_000057,9,0.11111111
EK06,dense_ann,13640-8_chunk_000006,10,0.10000000
EK06,dense_ann,51500-0_chunk_000045,11,0.09090909
EK06,dense_ann,27667-8_chunk_000059,12,0.08333333
EK06,dense_ann,23319-8_chunk_000005,13,0.07692308
EK06,dense_ann,48575-0_chunk_000055,14,0.07142857
EK06,dense_ann,56353-0_chunk_000046,15,0.06666667
EK06,dense_ann,51500-0_chunk_000049,16,0.06250000
EK06,dense_ann,51500-0_chunk_000048,17,0.05882353
EK06,dense_ann,33698-8_chunk_000014,18,0.05555556
EK06,dense_ann,26131-8_chunk_000096,19,0.05263158
EK06,dense_ann,26131-8_chunk_000094,20,0.05000000
EK07,dense_ann,1667-0_chunk_000025,1,1.00000000
EK07,dense_ann,6491-0_chunk_000042,2,0.50000000
EK07,dense_ann,57649-0_chunk_000002,3,0.33333333
EK07,dense_ann,6491-0_chunk_000222,4,0.25000000
EK07,dense_ann,14024-8_chunk_000001,5,0.20000000
EK07,dense_ann,1667-0_chunk_000004,6,0.16666667
EK07,dense_ann,6491-0_chunk_000140,7,0.14285714
EK07,dense_ann,48260-8_chunk_000070,8,0.12500000
EK07,dense_ann,57649-0_chunk_000000,9,0.11111111
EK07,dense_ann,60369-0_chunk_000060,10,0.10000000
EK07,dense_ann,51352-8_chunk_000050,11,0.09090909
EK07,dense_ann,10007-0_chunk_000045,12,0.08333333
EK07,dense_ann,1667-0_chunk_000024,13,0.07692308
EK07,dense_ann,6491-0_chunk_000219,14,0.07142857
EK07,dense_ann,6491-0_chunk_000008,15,0.06666667
EK07,dense_ann,39724-8_chunk_000015,16,0.06250000
EK07,dense_ann,39422-8_chunk_000034,17,0.05882353
EK07,dense_ann,27523-8_chunk_000123,18,0.05555556
EK07,dense_ann,57649-0_chunk_000001,19,0.05263158
EK07,dense_ann,13108-8_chunk_000004,20,0.05000000
EK08,dense_ann,62375-0_chunk_000011,1,1.00000000
EK08,dense_ann,26410-8_chunk_000000,2,0.50000000
EK08,dense_ann,62375-0_chunk_000133,3,0.33333333
EK08,dense_ann,7281-0_chunk_000545,4,0.25000000
EK08,dense_ann,46128-8_chunk_000023,5,0.20000000
EK08,dense_ann,63923-0_chunk_000069,6,0.16666667
EK08,dense_ann,39343-0_chunk_000217,7,0.14285714
EK08,dense_ann,64321-0_chunk_000066,8,0.12500000
EK08,dense_ann,21087-8_chunk_000066,9,0.11111111
EK08,dense_ann,64252-0_chunk_000115,10,0.10000000
EK08,dense_ann,62344-0_chunk_000054,11,0.09090909
EK08,dense_ann,64252-0_chunk_000071,12,0.08333333
EK08,dense_ann,20054-8_chunk_000013,13,0.07692308
EK08,dense_ann,64252-0_chunk_000074,14,0.07142857
EK08,dense_ann,7032-0_chunk_000145,15,0.06666667
EK08,dense_ann,64321-0_chunk_000049,16,0.06250000
EK08,dense_ann,15777-8_chunk_000134,17,0.05882353
EK08,dense_ann,8679-8_chunk_000333,18,0.05555556
EK08,dense_ann,62375-0_chunk_000013,19,0.05263158
EK08,dense_ann,64321-0_chunk_000089,20,0.05000000
SS01,dense_ann,43598-8_chunk_000229,1,1.00000000
SS01,dense_ann,22135-8_chunk_000023,2,0.50000000
SS01,dense_ann,43598-8_chunk_000310,3,0.33333333
SS01,dense_ann,53792-8_chunk_000096,4,0.25000000
SS01,dense_ann,43598-8_chunk_000110,5,0.20000000
SS01,dense_ann,38194-8_chunk_000484,6,0.16666667
SS01,dense_ann,16331-8_chunk_000003,7,0.14285714
SS01,dense_ann,43598-8_chunk_000315,8,0.12500000
SS01,dense_ann,54507-8_chunk_000203,9,0.11111111
SS01,dense_ann,17017-8_chunk_000192,10,0.10000000
SS01,dense_ann,43598-8_chunk_000132,11,0.09090909
SS01,dense_ann,18980-8_chunk_000013,12,0.08333333
SS01,dense_ann,20861-8_chunk_000064,13,0.07692308
SS01,dense_ann,41716-8_chunk_000324,14,0.07142857
SS01,dense_ann,31313-8_chunk_000006,15,0.06666667
SS01,dense_ann,20861-8_chunk_000053,16,0.06250000
SS01,dense_ann,43598-8_chunk_000068,17,0.05882353
SS01,dense_ann,43598-8_chunk_000018,18,0.05555556
SS01,dense_ann,43598-8_chunk_000187,19,0.05263158
SS01,dense_ann,20861-8_chunk_000057,20,0.05000000
SS02,dense_ann,34944-8_chunk_000075,1,1.00000000
SS02,dense_ann,56134-0_chunk_000111,2,0.50000000
SS02,dense_ann,48720-8_chunk_000210,3,0.33333333
SS02,dense_ann,21625-8_chunk_000012,4,0.25000000
SS02,dense_ann,59467-8_chunk_000059,5,0.20000000
SS02,dense_ann,47597-0_chunk_000235,6,0.16666667
SS02,dense_ann,45343-8_chunk_000005,7,0.14285714
SS02,dense_ann,48720-8_chunk_000208,8,0.12500000
SS02,dense_ann,30938-8_chunk_000012,9,0.11111111
SS02,dense_ann,41513-0_chunk_000153,10,0.10000000
SS02,dense_ann,62989-0_chunk_000081,11,0.09090909
SS02,dense_ann,7170-8_chunk_000032,12,0.08333333
SS02,dense_ann,805-8_chunk_000019,13,0.07692308
SS02,dense_ann,34944-8_chunk_000084,14,0.07142857
SS02,dense_ann,48720-8_chunk_000148,15,0.06666667
SS02,dense_ann,41513-0_chunk_000091,16,0.06250000
SS02,dense_ann,14635-8_chunk_000099,17,0.05882353
SS02,dense_ann,33797-0_chunk_000250,18,0.05555556
SS02,dense_ann,48720-8_chunk_000219,19,0.05263158
SS02,dense_ann,805-8_chunk_000021,20,0.05000000
SS03,dense_ann,10149-8_chunk_000395,1,1.00000000
SS03,dense_ann,20645-8_chunk_000113,2,0.50000000
SS03,dense_ann,13434-8_chunk_000057,3,0.33333333
SS03,dense_ann,58711-0_chunk_000298,4,0.25000000
SS03,dense_ann,27666-8_chunk_000150,5,0.20000000
SS03,dense_ann,36758-8_chunk_000031,6,0.16666667
SS03,dense_ann,20645-8_chunk_000043,7,0.14285714
SS03,dense_ann,7956-8_chunk_000047,8,0.12500000
SS03,dense_ann,7956-8_chunk_000204,9,0.11111111
SS03,dense_ann,59674-8_chunk_000030,10,0.10000000
SS03,dense_ann,20645-8_chunk_000090,11,0.09090909
SS03,dense_ann,37825-8_chunk_000111,12,0.08333333
SS03,dense_ann,43404-8_chunk_000358,13,0.07692308
SS03,dense_ann,20645-8_chunk_000044,14,0.07142857
SS03,dense_ann,11603-8_chunk_000074,15,0.06666667
SS03,dense_ann,20645-8_chunk_000137,16,0.06250000
SS03,dense_ann,30522-8_chunk_000089,17,0.05882353
SS03,dense_ann,20645-8_chunk_000139,18,0.05555556
SS03,dense_ann,59674-8_chunk_000031,19,0.05263158
SS03,dense_ann,20645-8_chunk_000117,20,0.05000000
SS04,dense_ann,17041-8_chunk_000069,1,1.00000000
SS04,dense_ann,56190-0_chunk_001052,2,0.50000000
SS04,dense_ann,57359-0_chunk_000347,3,0.33333333
SS04,dense_ann,58534-8_chunk_000161,4,0.25000000
SS04,dense_ann,56190-0_chunk_001051,5,0.20000000
SS04,dense_ann,58534-8_chunk_000158,6,0.16666667
SS04,dense_ann,54098-0_chunk_000021,7,0.14285714
SS04,dense_ann,58700-0_chunk_000086,8,0.12500000
SS04,dense_ann,58534-8_chunk_000162,9,0.11111111
SS04,dense_ann,56190-0_chunk_001038,10,0.10000000
SS04,dense_ann,58534-8_chunk_000278,11,0.09090909
SS04,dense_ann,57359-0_chunk_000354,12,0.08333333
SS04,dense_ann,57359-0_chunk_000340,13,0.07692308
