query_id,method,candidate_id,rank,score
EK01,hybrid_rrf,37683-8_chunk_000449,1,1.00000000
EK01,hybrid_rrf,15191-8_chunk_000764,2,0.50000000
EK01,hybrid_rrf,41983-8_chunk_000275,3,0.33333333
EK01,hybrid_rrf,58529-0_chunk_001243,4,0.25000000
EK01,hybrid_rrf,14504-0_chunk_000170,5,0.20000000
EK01,hybrid_rrf,61786-0_chunk_000167,6,0.16666667
EK01,hybrid_rrf,15191-8_chunk_000766,7,0.14285714
EK01,hybrid_rrf,50603-8_chunk_000033,8,0.12500000
EK01,hybrid_rrf,59880-0_chunk_000037,9,0.11111111
EK01,hybrid_rrf,65816-0_chunk_000011,10,0.10000000
EK01,hybrid_rrf,23319-8_chunk_000117,11,0.09090909
EK01,hybrid_rrf,37683-8_chunk_000684,12,0.08333333
EK01,hybrid_rrf,36721-8_chunk_000098,13,0.07692308
EK01,hybrid_rrf,41983-8_chunk_000915,14,0.07142857
EK01,hybrid_rrf,60098-0_chunk_000118,15,0.06666667
EK01,hybrid_rrf,33052-8_chunk_000177,16,0.06250000
EK01,hybrid_rrf,31415-8_chunk_000092,17,0.05882353
EK01,hybrid_rrf,28058-8_chunk_000032,18,0.05555556
EK01,hybrid_rrf,51964-8_chunk_000104,19,0.05263158
EK01,hybrid_rrf,14504-0_chunk_000016,20,0.05000000
EK02,hybrid_rrf,44186-0_chunk_000091,1,1.00000000
EK02,hybrid_rrf,63217-0_chunk_000098,2,0.50000000
EK02,hybrid_rrf,50006-0_chunk_000173,3,0.33333333
EK02,hybrid_rrf,52921-0_chunk_000033,4,0.25000000
EK02,hybrid_rrf,50557-0_chunk_000050,5,0.20000000
EK02,hybrid_rrf,50557-0_chunk_000137,6,0.16666667
EK02,hybrid_rrf,48124-8_chunk_000047,7,0.14285714
EK02,hybrid_rrf,61172-8_chunk_000007,8,0.12500000
EK02,hybrid_rrf,53562-0_chunk_000000,9,0.11111111
EK02,hybrid_rrf,48124-8_chunk_000164,10,0.10000000
EK02,hybrid_rrf,55624-8_chunk_000033,11,0.09090909
EK02,hybrid_rrf,15655-8_chunk_000003,12,0.08333333
EK02,hybrid_rrf,47583-0_chunk_000076,13,0.07692308
EK02,hybrid_rrf,5228-0_chunk_000043,14,0.07142857
EK02,hybrid_rrf,60733-0_chunk_000013,15,0.06666667
EK02,hybrid_rrf,31675-0_chunk_000147,16,0.06250000
EK02,hybrid_rrf,47816-8_chunk_000073,17,0.05882353
EK02,hybrid_rrf,48124-8_chunk_000037,18,0.05555556
EK02,hybrid_rrf,50557-0_chunk_000055,19,0.05263158
EK02,hybrid_rrf,37669-8_chunk_000157,20,0.05000000
EK03,hybrid_rrf,45331-8_chunk_000158,1,1.00000000
EK03,hybrid_rrf,57754-0_chunk_000023,2,0.50000000
EK03,hybrid_rrf,56280-0_chunk_000336,3,0.33333333
EK03,hybrid_rrf,45231-0_chunk_000196,4,0.25000000
EK03,hybrid_rrf,60901-8_chunk_000143,5,0.20000000
EK03,hybrid_rrf,39306-8_chunk_000072,6,0.16666667
EK03,hybrid_rrf,46684-0_chunk_000024,7,0.14285714
EK03,hybrid_rrf,19724-8_chunk_000097,8,0.12500000
EK03,hybrid_rrf,65121-0_chunk_000008,9,0.11111111
EK03,hybrid_rrf,26146-8_chunk_000114,10,0.10000000
EK03,hybrid_rrf,43639-8_chunk_000005,11,0.09090909
EK03,hybrid_rrf,44336-8_chunk_000134,12,0.08333333
EK03,hybrid_rrf,7844-8_chunk_000154,13,0.07692308
EK03,hybrid_rrf,10007-0_chunk_000057,14,0.07142857
EK03,hybrid_rrf,14097-8_chunk_000064,15,0.06666667
EK03,hybrid_rrf,14857-8_chunk_000043,16,0.06250000
EK03,hybrid_rrf,30724-0_chunk_000081,17,0.05882353
EK03,hybrid_rrf,45762-8_chunk_000115,18,0.05555556
EK03,hybrid_rrf,43591-0_chunk_000039,19,0.05263158
EK03,hybrid_rrf,65310-0_chunk_000213,20,0.05000000
EK04,hybrid_rrf,39343-0_chunk_000357,1,1.00000000
EK04,hybrid_rrf,40853-8_chunk_000058,2,0.50000000
EK04,hybrid_rrf,11697-8_chunk_000080,3,0.33333333
EK04,hybrid_rrf,48124-8_chunk_000091,4,0.25000000
EK04,hybrid_rrf,11697-8_chunk_000096,5,0.20000000
EK04,hybrid_rrf,48124-8_chunk_000063,6,0.16666667
EK04,hybrid_rrf,46694-0_chunk_000032,7,0.14285714
EK04,hybrid_rrf,40853-8_chunk_000347,8,0.12500000
EK04,hybrid_rrf,46694-0_chunk_000067,9,0.11111111
EK04,hybrid_rrf,26977-8_chunk_000131,10,0.10000000
EK04,hybrid_rrf,39343-0_chunk_000318,11,0.09090909
EK04,hybrid_rrf,39343-0_chunk_000110,12,0.08333333
EK04,hybrid_rrf,40359-8_chunk_000081,13,0.07692308
EK04,hybrid_rrf,26194-8_chunk_000040,14,0.07142857
EK04,hybrid_rrf,42569-8_chunk_000089,15,0.06666667
EK04,hybrid_rrf,11697-8_chunk_000412,16,0.06250000
EK04,hybrid_rrf,62343-0_chunk_000074,17,0.05882353
EK04,hybrid_rrf,39343-0_chunk_000087,18,0.05555556
EK04,hybrid_rrf,45774-8_chunk_000111,19,0.05263158
EK04,hybrid_rrf,11697-8_chunk_000266,20,0.05000000
EK05,hybrid_rrf,41296-8_chunk_000318,1,1.00000000
EK05,hybrid_rrf,6111-0_chunk_000095,2,0.50000000
EK05,hybrid_rrf,17613-0_chunk_000131,3,0.33333333
EK05,hybrid_rrf,35116-8_chunk_000228,4,0.25000000
EK05,hybrid_rrf,23299-8_chunk_000088,5,0.20000000
EK05,hybrid_rrf,58834-0_chunk_000258,6,0.16666667
EK05,hybrid_rrf,20696-8_chunk_000128,7,0.14285714
EK05,hybrid_rrf,34462-8_chunk_000106,8,0.12500000
EK05,hybrid_rrf,17613-0_chunk_000098,9,0.11111111
EK05,hybrid_rrf,41664-8_chunk_000046,10,0.10000000
EK05,hybrid_rrf,28515-8_chunk_000085,11,0.09090909
EK05,hybrid_rrf,29588-8_chunk_000065,12,0.08333333
EK05,hybrid_rrf,45573-8_chunk_000182,13,0.07692308
EK05,hybrid_rrf,45812-8_chunk_000033,14,0.07142857
EK05,hybrid_rrf,30952-8_chunk_000053,15,0.06666667
EK05,hybrid_rrf,52972-0_chunk_000046,16,0.06250000
EK05,hybrid_rrf,23299-8_chunk_000087,17,0.05882353
EK05,hybrid_rrf,28097-8_chunk_000174,18,0.05555556
EK05,hybrid_rrf,14753-8_chunk_000131,19,0.05263158
EK05,hybrid_rrf,58292-0_chunk_000005,20,0.05000000
EK06,hybrid_rrf,48575-0_chunk_000054,1,1.00000000
EK06,hybrid_rrf,52921-0_chunk_000219,2,0.50000000
EK06,hybrid_rrf,55817-0_chunk_000019,3,0.33333333
EK06,hybrid_rrf,57054-0_chunk_000080,4,0.25000000
EK06,hybrid_rrf,41664-8_chunk_000079,5,0.20000000
EK06,hybrid_rrf,52921-0_chunk_000133,6,0.16666667
EK06,hybrid_rrf,55817-0_chunk_000018,7,0.14285714
EK06,hybrid_rrf,41983-8_chunk_000747,8,0.12500000
EK06,hybrid_rrf,51500-0_chunk_000048,9,0.11111111
EK06,hybrid_rrf,39373-0_chunk_000143,10,0.10000000
EK06,hybrid_rrf,40175-8_chunk_000107,11,0.09090909
EK06,hybrid_rrf,11735-8_chunk_000026,12,0.08333333
EK06,hybrid_rrf,40175-8_chunk_000106,13,0.07692308
EK06,hybrid_rrf,52921-0_chunk_000138,14,0.07142857
EK06,hybrid_rrf,14009-8_chunk_000015,15,0.06666667
EK06,hybrid_rrf,39193-8_chunk_000159,16,0.06250000
EK06,hybrid_rrf,51500-0_chunk_000033,17,0.05882353
EK06,hybrid_rrf,51500-0_chunk_000047,18,0.05555556
EK06,hybrid_rrf,57054-0_chunk_000042,19,0.05263158
EK06,hybrid_rrf,57054-0_chunk_000047,20,0.05000000
EK07,hybrid_rrf,12963-8_chunk_000170,1,1.00000000
EK07,hybrid_rrf,9298-0_chunk_000063,2,0.50000000
EK07,hybrid_rrf,1667-0_chunk_000025,3,0.33333333
EK07,hybrid_rrf,34156-8_chunk_000085,4,0.25000000
EK07,hybrid_rrf,19724-8_chunk_000114,5,0.20000000
EK07,hybrid_rrf,6491-0_chunk_000042,6,0.16666667
EK07,hybrid_rrf,44303-8_chunk_000204,7,0.14285714
EK07,hybrid_rrf,56111-0_chunk_000026,8,0.12500000
EK07,hybrid_rrf,33683-8_chunk_000022,9,0.11111111
EK07,hybrid_rrf,57649-0_chunk_000002,10,0.10000000
EK07,hybrid_rrf,12422-8_chunk_000014,11,0.09090909
EK07,hybrid_rrf,64662-0_chunk_000187,12,0.08333333
EK07,hybrid_rrf,21820-8_chunk_000001,13,0.07692308
EK07,hybrid_rrf,6491-0_chunk_000222,14,0.07142857
EK07,hybrid_rrf,47646-0_chunk_000098,15,0.06666667
EK07,hybrid_rrf,48728-0_chunk_000121,16,0.06250000
EK07,hybrid_rrf,32280-8_chunk_000027,17,0.05882353
EK07,hybrid_rrf,49504-0_chunk_000070,18,0.05555556
EK07,hybrid_rrf,14024-8_chunk_000001,19,0.05263158
EK07,hybrid_rrf,64187-0_chunk_000395,20,0.05000000
EK08,hybrid_rrf,12051-8_chunk_000119,1,1.00000000
EK08,hybrid_rrf,62375-0_chunk_000011,2,0.50000000
EK08,hybrid_rrf,26410-8_chunk_000000,3,0.33333333
EK08,hybrid_rrf,57984-0_chunk_000018,4,0.25000000
EK08,hybrid_rrf,47248-0_chunk_000192,5,0.20000000
EK08,hybrid_rrf,61184-0_chunk_000370,6,0.16666667
EK08,hybrid_rrf,47463-0_chunk_000312,7,0.14285714
EK08,hybrid_rrf,62375-0_chunk_000133,8,0.12500000
EK08,hybrid_rrf,37669-8_chunk_000229,9,0.11111111
EK08,hybrid_rrf,7281-0_chunk_000545,10,0.10000000
EK08,hybrid_rrf,27602-8_chunk_000046,11,0.09090909
EK08,hybrid_rrf,41227-0_chunk_000349,12,0.08333333
EK08,hybrid_rrf,46128-8_chunk_000023,13,0.07692308
EK08,hybrid_rrf,61184-0_chunk_000057,14,0.07142857
EK08,hybrid_rrf,34802-8_chunk_000092,15,0.06666667
EK08,hybrid_rrf,63923-0_chunk_000069,16,0.06250000
EK08,hybrid_rrf,38961-8_chunk_000415,17,0.05882353
EK08,hybrid_rrf,43612-0_chunk_000061,18,0.05555556
EK08,hybrid_rrf,20057-8_chunk_000002,19,0.05263158
EK08,hybrid_rrf,39343-0_chunk_000217,20,0.05000000
SS01,hybrid_rrf,43598-8_chunk_000229,1,1.00000000
SS01,hybrid_rrf,48592-8_chunk_000019,2,0.50000000
SS01,hybrid_rrf,43598-8_chunk_000018,3,0.33333333
SS01,hybrid_rrf,51761-0_chunk_000322,4,0.25000000
SS01,hybrid_rrf,14477-8_chunk_000225,5,0.20000000
SS01,hybrid_rrf,16653-8_chunk_000319,6,0.16666667
SS01,hybrid_rrf,22135-8_chunk_000023,7,0.14285714
SS01,hybrid_rrf,55195-0_chunk_000821,8,0.12500000
SS01,hybrid_rrf,43598-8_chunk_000310,9,0.11111111
SS01,hybrid_rrf,55195-0_chunk_000028,10,0.10000000
SS01,hybrid_rrf,14477-8_chunk_000206,11,0.09090909
SS01,hybrid_rrf,53792-8_chunk_000096,12,0.08333333
SS01,hybrid_rrf,43598-8_chunk_000110,13,0.07692308
SS01,hybrid_rrf,55195-0_chunk_000719,14,0.07142857
SS01,hybrid_rrf,34444-8_chunk_000216,15,0.06666667
SS01,hybrid_rrf,38194-8_chunk_000484,16,0.06250000
SS01,hybrid_rrf,16331-8_chunk_000003,17,0.05882353
SS01,hybrid_rrf,26160-8_chunk_000188,18,0.05555556
SS01,hybrid_rrf,51761-0_chunk_000038,19,0.05263158
SS01,hybrid_rrf,43598-8_chunk_000315,20,0.05000000
SS02,hybrid_rrf,34156-8_chunk_000041,1,1.00000000
SS02,hybrid_rrf,34944-8_chunk_000075,2,0.50000000
SS02,hybrid_rrf,55364-0_chunk_000006,3,0.33333333
SS02,hybrid_rrf,56134-0_chunk_000111,4,0.25000000
SS02,hybrid_rrf,24723-8_chunk_000012,5,0.20000000
SS02,hybrid_rrf,36851-8_chunk_000139,6,0.16666667
SS02,hybrid_rrf,15851-8_chunk_000089,7,0.14285714
SS02,hybrid_rrf,57254-0_chunk_000043,8,0.12500000
SS02,hybrid_rrf,48720-8_chunk_000210,9,0.11111111
SS02,hybrid_rrf,58459-0_chunk_000005,10,0.10000000
SS02,hybrid_rrf,21625-8_chunk_000012,11,0.09090909
SS02,hybrid_rrf,3083-0_chunk_000047,12,0.08333333
SS02,hybrid_rrf,43404-8_chunk_000158,13,0.07692308
SS02,hybrid_rrf,59467-8_chunk_000059,14,0.07142857
SS02,hybrid_rrf,34230-8_chunk_000160,15,0.06666667
SS02,hybrid_rrf,47597-0_chunk_000235,16,0.06250000
SS02,hybrid_rrf,28178-8_chunk_000213,17,0.05882353
SS02,hybrid_rrf,50618-0_chunk_000079,18,0.05555556
SS02,hybrid_rrf,10149-8_chunk_000219,19,0.05263158
SS02,hybrid_rrf,45343-8_chunk_000005,20,0.05000000
SS03,hybrid_rrf,10149-8_chunk_000395,1,1.00000000
SS03,hybrid_rrf,58534-8_chunk_000090,2,0.50000000
SS03,hybrid_rrf,20645-8_chunk_000113,3,0.33333333
SS03,hybrid_rrf,44076-0_chunk_000037,4,0.25000000
SS03,hybrid_rrf,13434-8_chunk_000057,5,0.20000000
SS03,hybrid_rrf,28234-8_chunk_000007,6,0.16666667
SS03,hybrid_rrf,53792-8_chunk_000073,7,0.14285714
SS03,hybrid_rrf,58711-0_chunk_000298,8,0.12500000
SS03,hybrid_rrf,27666-8_chunk_000150,9,0.11111111
SS03,hybrid_rrf,36828-0_chunk_000025,10,0.10000000
SS03,hybrid_rrf,36758-8_chunk_000031,11,0.09090909
SS03,hybrid_rrf,8444-8_chunk_000029,12,0.08333333
SS03,hybrid_rrf,15851-8_chunk_000088,13,0.07692308
SS03,hybrid_rrf,20645-8_chunk_000043,14,0.07142857
SS03,hybrid_rrf,36022-8_chunk_000165,15,0.06666667
SS03,hybrid_rrf,7956-8_chunk_000047,16,0.06250000
SS03,hybrid_rrf,1709-0_chunk_000357,17,0.05882353
SS03,hybrid_rrf,57666-8_chunk_000141,18,0.05555556
SS03,hybrid_rrf,20645-8_chunk_000215,19,0.05263158
SS03,hybrid_rrf,7956-8_chunk_000204,20,0.05000000
SS04,hybrid_rrf,17041-8_chunk_000072,1,1.00000000
SS04,hybrid_rrf,17041-8_chunk_000071,2,0.50000000
SS04,hybrid_rrf,17041-8_chunk_000069,3,0.33333333
SS04,hybrid_rrf,36506-8_chunk_000184,4,0.25000000
SS04,hybrid_rrf,36506-8_chunk_000079,5,0.20000000
SS04,hybrid_rrf,56190-0_chunk_001052,6,0.16666667
SS04,hybrid_rrf,57359-0_chunk_000347,7,0.14285714
SS04,hybrid_rrf,60692-0_chunk_000565,8,0.12500000
SS04,hybrid_rrf,58534-8_chunk_000161,9,0.11111111
SS04,hybrid_rrf,2172-8_chunk_000120,10,0.10000000
SS04,hybrid_rrf,36506-8_chunk_000188,11,0.09090909
SS04,hybrid_rrf,36506-8_chunk_000189,12,0.08333333
SS04,hybrid_rrf,56190-0_chunk_001051,13,0.07692308
SS04,hybrid_rrf,36506-8_chunk_000190,14,0.07142857
SS04,hybrid_rrf,58534-8_chunk_000158,15,0.06666667
SS04,hybrid_rrf,36506-8_chunk_000175,16,0.06250000
SS04,hybrid_rrf,54098-0_chunk_000021,17,0.05882353
SS04,hybrid_rrf,36506-8_chunk_000172,18,0.05555556
SS04,hybrid_rrf,58700-0_chunk_000086,19,0.05263158
SS04,hybrid_rrf,36506-8_chunk_000181,20,0.05000000
SS05,hybrid_rrf,38194-8_chunk_000737,1,1.00000000
SS05,hybrid_rrf,57359-0_chunk_000275,2,0.50000000
SS05,hybrid_rrf,12088-8_chunk_000016,3,0.33333333
SS05,hybrid_rrf,31217-8_chunk_000286,4,0.25000000
SS05,hybrid_rrf,13722-8_chunk_000021,5,0.20000000
SS05,hybrid_rrf,41770-8_chunk_000074,6,0.16666667
SS05,hybrid_rrf,34738-8_chunk_000203,7,0.14285714
SS05,hybrid_rrf,64898-0_chunk_000024,8,0.12500000
SS05,hybrid_rrf,15693-8_chunk_000152,9,0.11111111
SS05,hybrid_rrf,61640-0_chunk_000201,10,0.10000000
SS05,hybrid_rrf,56278-0_chunk_000002,11,0.09090909
SS05,hybrid_rrf,9054-8_chunk_000067,12,0.08333333
SS05,hybrid_rrf,11807-8_chunk_000143,13,0.07692308
SS05,hybrid_rrf,36557-8_chunk_000056,14,0.07142857
SS05,hybrid_rrf,43952-8_chunk_000209,15,0.06666667
SS05,hybrid_rrf,55624-8_chunk_000123,16,0.06250000
SS05,hybrid_rrf,36555-0_chunk_000150,17,0.05882353
SS05,hybrid_rrf,43807-8_chunk_000054,18,0.05555556
SS05,hybrid_rrf,51090-0_chunk_000573,19,0.05263158
SS05,hybrid_rrf,7058-0_chunk_000091,20,0.05000000
SS06,hybrid_rrf,30326-8_chunk_000111,1,1.00000000
SS06,hybrid_rrf,53534-0_chunk_000193,2,0.50000000
SS06,hybrid_rrf,14943-8_chunk_000121,3,0.33333333
SS06,hybrid_rrf,37615-8_chunk_000040,4,0.25000000
SS06,hybrid_rrf,29896-8_chunk_000113,5,0.20000000
SS06,hybrid_rrf,30646-8_chunk_000262,6,0.16666667
SS06,hybrid_rrf,16834-8_chunk_000080,7,0.14285714
SS06,hybrid_rrf,17377-8_chunk_000159,8,0.12500000
SS06,hybrid_rrf,27461-8_chunk_000105,9,0.11111111
SS06,hybrid_rrf,63288-8_chunk_000073,10,0.10000000
SS06,hybrid_rrf,13201-8_chunk_000063,11,0.09090909
SS06,hybrid_rrf,31217-8_chunk_000368,12,0.08333333
SS06,hybrid_rrf,46333-0_chunk_000258,13,0.07692308
SS06,hybrid_rrf,60834-0_chunk_000002,14,0.07142857
SS06,hybrid_rrf,41014-8_chunk_000058,15,0.06666667
SS06,hybrid_rrf,46975-0_chunk_000126,16,0.06250000
SS06,hybrid_rrf,31313-8_chunk_000012,17,0.05882353
SS06,hybrid_rrf,31313-8_chunk_000015,18,0.05555556
SS06,hybrid_rrf,46333-0_chunk_000259,19,0.05263158
SS06,hybrid_rrf,8133-8_chunk_000228,20,0.05000000
SS07,hybrid_rrf,20861-8_chunk_000064,1,1.00000000
SS07,hybrid_rrf,41584-0_chunk_000125,2,0.50000000
SS07,hybrid_rrf,23609-8_chunk_000116,3,0.33333333
SS07,hybrid_rrf,61630-0_chunk_000120,4,0.25000000
SS07,hybrid_rrf,20861-8_chunk_000056,5,0.20000000
SS07,hybrid_rrf,4309-0_chunk_000144,6,0.16666667
SS07,hybrid_rrf,20861-8_chunk_000065,7,0.14285714
SS07,hybrid_rrf,33011-0_chunk_000049,8,0.12500000
SS07,hybrid_rrf,23609-8_chunk_000161,9,0.11111111
SS07,hybrid_rrf,41296-8_chunk_000215,10,0.10000000
SS07,hybrid_rrf,23609-8_chunk_000115,11,0.09090909
SS07,hybrid_rrf,26935-8_chunk_000026,12,0.08333333
SS07,hybrid_rrf,41934-8_chunk_000188,13,0.07692308
SS07,hybrid_rrf,49630-0_chunk_000167,14,0.07142857
SS07,hybrid_rrf,20645-8_chunk_000151,15,0.06666667
SS07,hybrid_rrf,58650-0_chunk_000039,16,0.06250000
SS07,hybrid_rrf,19549-8_chunk_000170,17,0.05882353
SS07,hybrid_rrf,35338-8_chunk_000375,18,0.05555556
SS07,hybrid_rrf,22131-8_chunk_000018,19,0.05263158
SS07,hybrid_rrf,30522-8_chunk_000071,20,0.05000000
SS08,hybrid_rrf,38806-8_chunk_000042,1,1.00000000
SS08,hybrid_rrf,54460-0_chunk_000446,2,0.50000000
SS08,hybrid_rrf,3283-8_chunk_000018,3,0.33333333
SS08,hybrid_rrf,38806-8_chunk_000415,4,0.25000000
SS08,hybrid_rrf,16653-8_chunk_000102,5,0.20000000
SS08,hybrid_rrf,38806-8_chunk_000170,6,0.16666667
SS08,hybrid_rrf,4593-0_chunk_000191,7,0.14285714
SS08,hybrid_rrf,55330-0_chunk_000253,8,0.12500000
SS08,hybrid_rrf,17695-0_chunk_000037,9,0.11111111
SS08,hybrid_rrf,40387-8_chunk_000089,10,0.10000000
SS08,hybrid_rrf,23033-0_chunk_000083,11,0.09090909
SS08,hybrid_rrf,53261-8_chunk_000037,12,0.08333333
SS08,hybrid_rrf,27250-8_chunk_000104,13,0.07692308
SS08,hybrid_rrf,38537-0_chunk_000179,14,0.07142857
SS08,hybrid_rrf,16470-8_chunk_000113,15,0.06666667
SS08,hybrid_rrf,58678-0_chunk_000068,16,0.06250000
SS08,hybrid_rrf,21822-8_chunk_000023,17,0.05882353
SS08,hybrid_rrf,38806-8_chunk_000153,18,0.05555556
SS08,hybrid_rrf,38806-8_chunk_000015,19,0.05263158
SS08,hybrid_rrf,65606-0_chunk_000056,20,0.05000000
EM01,hybrid_rrf,54291-8_chunk_000077,1,1.00000000
EM01,hybrid_rrf,53707-0_chunk_000218,2,0.50000000
EM01,hybrid_rrf,54291-8_chunk_000040,3,0.33333333
EM01,hybrid_rrf,45895-8_chunk_000329,4,0.25000000
EM01,hybrid_rrf,54291-8_chunk_000079,5,0.20000000
EM01,hybrid_rrf,38982-8_chunk_000002,6,0.16666667
EM01,hybrid_rrf,45895-8_chunk_000346,7,0.14285714
EM01,hybrid_rrf,20745-8_chunk_000268,8,0.12500000
EM01,hybrid_rrf,44314-8_chunk_000103,9,0.11111111
EM01,hybrid_rrf,46337-8_chunk_000271,10,0.10000000
EM01,hybrid_rrf,60071-0_chunk_000005,11,0.09090909
EM01,hybrid_rrf,47597-0_chunk_000206,12,0.08333333
EM01,hybrid_rrf,65790-0_chunk_000120,13,0.07692308
EM01,hybrid_rrf,54291-8_chunk_000045,14,0.07142857
EM01,hybrid_rrf,42740-8_chunk_000180,15,0.06666667
EM01,hybrid_rrf,20745-8_chunk_000063,16,0.06250000
EM01,hybrid_rrf,9105-8_chunk_000033,17,0.05882353
EM01,hybrid_rrf,41194-8_chunk_000046,18,0.05555556
EM01,hybrid_rrf,65620-0_chunk_000114,19,0.05263158
EM01,hybrid_rrf,33845-8_chunk_000247,20,0.05000000
EM02,hybrid_rrf,38302-8_chunk_000000,1,1.00000000
EM02,hybrid_rrf,45366-8_chunk_000182,2,0.50000000
EM02,hybrid_rrf,15210-8_chunk_000071,3,0.33333333
EM02,hybrid_rrf,38302-8_chunk_000007,4,0.25000000
